system:index,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,deforestation,geometry_name,year,.geo
66,0.746399522090178,0.04666342104125591,0.06064239769288003,0.05372310380185526,0.2726381890758445,0.1450211858190625,0.07154163625163007,3.9357499043973164E-4,treated,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.7246468312125988,0.05832055516407196,0.07293363431041645,0.06776290846197218,0.315523807477329,0.17050321537270063,0.08398661820434468,0.01941719539226016,donor1,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.7109733048952133,0.06762304880626806,0.07942434857098164,0.07291895956371369,0.3036667420904279,0.16666346460746112,0.08412728909815356,0.0019107700385576853,donor2,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.7765680400808687,0.03432934940817877,0.05212989723559917,0.041867125993713124,0.30126985362832526,0.15957265637636345,0.06883653696079436,3.319865242621364E-4,donor3,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.7210867949424872,0.04897690452608891,0.06625617905584201,0.060292475983751016,0.29675340622812885,0.16996176294061904,0.08144919472728479,0.00845461202773792,donor4,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.6242680331783999,0.08801019606999645,0.10193613853947427,0.09823759869227468,0.30934251674130425,0.20048690929731397,0.09622306170627495,0.0040646113738717115,donor5,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.841104242527657,0.022778309623686765,0.04134169190110456,0.02915228066708028,0.30498215023809433,0.14308533131207704,0.054842031165044706,5.598268772344313E-4,treated,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.7839504008098731,0.023856280737819643,0.04485871590866613,0.036122575788147926,0.29697905948992165,0.16328077800859633,0.07042541296030741,0.03652135710127741,donor1,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.7727505449845297,0.03464538297911863,0.05456315902889274,0.04640388159527178,0.32181206526347433,0.18450262617930333,0.08246722523934752,0.006168733465829601,donor2,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.6680830760019386,0.091259970703591,0.0993871532082676,0.09520595146314735,0.3310771015082528,0.193299625587687,0.0940222277326649,0.0018026968935123465,donor3,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.7451179036992802,0.030967509728838754,0.05222916341145517,0.04579172264231029,0.2916649022699596,0.17503397654638425,0.08003723685421238,0.02360285772460026,donor4,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.6702985437102226,0.034036130079824485,0.058822783541760355,0.05886093964644989,0.28860937171097745,0.21489392172173086,0.1067091129932032,0.006760782035156348,donor5,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.8221359741300656,0.02638112025627164,0.04451783332398559,0.03188197714674131,0.310145583340081,0.1461585234017749,0.05595977597700929,0.0028301195046278823,treated,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.7950427932545511,0.024759773332970917,0.045508598405355545,0.03557901019491914,0.30840206644381646,0.1623264953351507,0.06802529379034271,0.013436163400158208,donor1,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.7684741862045084,0.0348817646675342,0.05574479852601972,0.04587383109984436,0.3295542604965513,0.1838837306296887,0.08032065795243049,0.0032142827892880496,donor2,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
