"system.index","B1","B2","B3","B4","B5","B7","B8","NDVI","date","gain","loss","lossyear","treecover2000",".geo","time","treatment","new_index","yearly_loss"
"17_0",0.23849866,0.2539576,0.22775264,0.42792088,0.29018348,0.16934124,0.34639013,0.30528644,"2004-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2004,"0","17_0_treated",0
"17_0",0.08936238,0.06573612,0.042716645,0.20190609,0.099420354,0.03543471,0.112611994,0.6507549,"2005-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2005,"0","17_0_treated",0
"17_0",0.11065678,0.08996029,0.061160862,0.31118298,0.16352709,0.07343033,0.1865112,0.6714818,"2006-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2006,"0","17_0_treated",0
"17_0",0.08723362,0.063659035,0.042311467,0.27770972,0.12544383,0.041047666,0.13954295,0.73557085,"2007-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2007,"0","17_0_treated",0
"17_0",0.16399711,0.15768094,0.13509923,0.3043489,0.19578287,0.11466074,0.2176396,0.38514137,"2008-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2008,"0","17_0_treated",1
"17_0",0.08661373,0.0662183,0.04162229,0.24459638,0.10616501,0.037491515,0.12918246,0.7091574,"2009-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2009,"0","17_0_treated",1
"17_0",0.10280836,0.08332805,0.054302,0.3163892,0.14471905,0.048293628,0.17343134,0.70702296,"2010-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2010,"0","17_0_treated",1
"17_0",0.092543975,0.074714646,0.0469589,0.3298717,0.14351594,0.048269965,0.17735283,0.7507692,"2011-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2011,"0","17_0_treated",1
"17_0",0.08468005,0.06522389,0.040010393,0.30309084,0.12619781,0.042061564,0.15765527,0.7667721,"2012-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2012,"1","17_0_treated",1
"17_0",0.083176285,0.064666755,0.03966511,0.2968306,0.12512437,0.040605508,0.1859487,0.764246,"2014-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2014,"1","17_0_treated",1
"17_0",0.1020151,0.08619563,0.060206406,0.33743334,0.15960364,0.056301504,0.18722677,0.69718117,"2015-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2015,"1","17_0_treated",1
"19_0",0.10886307,0.08728204,0.06443794,0.262262,0.13407908,0.059462517,0.15233567,0.60552216,"2001-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2001,"0","19_0_treated",0
"19_0",0.08568936,0.06643648,0.040656712,0.2857333,0.12374303,0.04063483,0.13945206,0.75087035,"2002-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2002,"0","19_0_treated",0
"19_0",0.08302079,0.059654288,0.035186596,0.24492745,0.10087629,0.030543905,0.12630902,0.7487695,"2003-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2003,"0","19_0_treated",0
"19_0",0.16057625,0.1661327,0.15528657,0.31648886,0.17771773,0.10300779,0.18781781,0.34169286,"2004-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2004,"0","19_0_treated",0
"19_0",0.104265,0.08335221,0.06578957,0.224024,0.14960912,0.074439235,0.13245673,0.54598695,"2005-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2005,"0","19_0_treated",1
"19_0",0.09478276,0.07834868,0.053620853,0.35392267,0.19385226,0.07647127,0.19226293,0.73685825,"2006-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2006,"0","19_0_treated",1
"19_0",0.17483643,0.16070242,0.14519146,0.37336928,0.24120547,0.13753735,0.2512082,0.4400214,"2007-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2007,"0","19_0_treated",1
"19_0",0.095028065,0.07951312,0.052106734,0.33475944,0.16472292,0.05873583,0.18243183,0.7306214,"2008-01-01",0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}",2008,"0","19_0_treated",1
