"geometry_name","ATT_SC","Pre.RMSE_SC","Post.RMSE_SC","Ratio.Post.Pre_SC","order.x","rank.x","ATT_SCMO","Pre.RMSE_SCMO","Post.RMSE_SCMO","Ratio.Post.Pre_SCMO","order.y","rank.y","SCMO_wins_SC","centroid_lat","centroid_lon"
"donor20.0",-4.81421549147638e-06,0.00285064161795265,0.00255848012177409,0.897510267745129,77,0.658119658119658,-4.31322780124494e-05,0.000600481841642433,0.00318317221440988,5.30102992907045,69,0.584745762711864,FALSE,-5.64782049922331,-48.5410465726117
"donor108.0",0.00679246509988156,0.0128239693500678,0.0114155372649595,0.890171908037129,78,0.666666666666667,-0.0382964657342305,0.00636540450974391,0.115593630644484,18.1596676955153,29,0.245762711864407,FALSE,-5.66457380870693,-51.2418218166066
"donor110.0",0.000158571012613591,0.00270620763717099,0.00239411485458147,0.884675226578042,79,0.675213675213675,0.000109466228949223,0.00227059536972374,0.00221157864706862,0.974008260810335,112,0.949152542372881,TRUE,-5.644908398357,-48.5181206503786
"donor92.0",-0.00219125662013257,0.00440424346314422,0.0038783432799338,0.880592390586197,80,0.683760683760684,-0.00428307371920018,0.0022951163064553,0.00897030855938911,3.90843310823028,78,0.661016949152542,FALSE,-2.16938429807376,-56.6120184456273
"donor112.0",-0.00479344515426701,0.00872126097622276,0.00743157914997305,0.852122092233469,81,0.692307692307692,-0.00779301652177599,0.00178148276744548,0.0129141781328375,7.24911762764647,61,0.516949152542373,FALSE,-5.38644271649658,-49.5710782540651
"donor27.0",0.0169609158562394,0.0287952221827303,0.0229569717759305,0.79724933637424,82,0.700854700854701,0.0143383298155432,0.00524321006875019,0.0232275502550666,4.4300247273143,72,0.610169491525424,TRUE,-5.47807198922422,-51.0107490260111
"donor79.0",-0.000870826391813972,0.0446818686296452,0.0346936650750053,0.776459582802384,83,0.709401709401709,-0.000489168182996574,0.00857484939079762,0.031241022397871,3.64333190870948,82,0.694915254237288,TRUE,-8.89984333799011,-51.5782947981082
"donor134.0",0.0161519366987094,0.0310067827541332,0.0239522832377187,0.772485279354753,84,0.717948717948718,-0.0179904486268078,0.00793083072448471,0.0327263159330012,4.12646758831528,75,0.635593220338983,FALSE,-3.5877365771257,-51.2548825678023
"donor123.0",0.00240011858130498,0.0120099381412939,0.0090783429676917,0.755902558438458,85,0.726495726495726,-0.00133096144793034,0.0072411522657331,0.0070653437266532,0.975720916695555,111,0.940677966101695,TRUE,-1.77134702465998,-55.253909153177
"donor68.0",0.00614826700789754,0.0186554834303571,0.0138929970200335,0.74471385702212,86,0.735042735042735,0.00286631724020317,9.27826773847552e-05,0.00674831409144347,72.7324785364759,5,0.0423728813559322,TRUE,-1.53640630154871,-55.4179248132212
"donor61.0",-0.0020076133022841,0.0503231636380626,0.0359760663945481,0.71490072947912,87,0.743589743589744,0.00776863583969198,0.00242306622311239,0.0215648509657475,8.89981906398241,50,0.423728813559322,FALSE,-8.66358405038377,-51.3536857958446
"donor87.0",-0.00560849770970236,0.0109374103071549,0.00780414186218664,0.713527392958954,88,0.752136752136752,0.00421186512475069,0.000202673365484022,0.0237708756135762,117.286627953342,2,0.0169491525423729,TRUE,-9.49629950242548,-50.5713921718707
"donor99.0",0.002508077263918,0.0226576073039709,0.0159039056851479,0.701923441066993,89,0.760683760683761,0.00630258733089822,0.000560130033562946,0.020469558172902,36.5442967639078,14,0.11864406779661,FALSE,-8.32699335148293,-56.343720442988
"donor111.0",-0.00156638826837898,0.00427097411657,0.00293169718123313,0.686423542081207,90,0.769230769230769,-0.0198887293418388,0.00306245400372556,0.0267761110823226,8.74335126331652,52,0.440677966101695,FALSE,-3.12220787647225,-50.0897965723087
"donor107.0",-0.00027421962663747,0.00900683323154229,0.00604195119737162,0.670818593177951,91,0.777777777777778,0.00137178006491367,0.00446257760140352,0.00629914896141643,1.41154945057657,107,0.906779661016949,FALSE,-1.63721788763027,-47.3038960061809
"donor106.0",-0.00353695842971768,0.00972108412696171,0.00649451043847802,0.668084994806835,92,0.786324786324786,0.00959367718195933,0.000525668183584958,0.0195557653487438,37.2017290743701,12,0.101694915254237,FALSE,-1.09276602406533,-47.3553519837459
"donor91.0",0.00102004456067787,0.00898797470102064,0.00584738544651451,0.650578761180815,93,0.794871794871795,0.00587655151280344,0.00171890212101939,0.00903071691650164,5.25377030260803,70,0.593220338983051,FALSE,-5.01615115953014,-49.3676624431821
"donor83.0",-0.0012049788897625,0.0114791165878351,0.00704029081190698,0.613312945995152,94,0.803418803418803,-0.00477078921405509,0.00225725183300481,0.0134550823103234,5.96082462469962,65,0.550847457627119,FALSE,-6.60892271253896,-50.2836348250481
"donor143.0",0.000496208024889755,0.00973931212530443,0.00586643508916434,0.60234593713475,95,0.811965811965812,0.00383850200410794,0.00105829895146542,0.0111688213886794,10.5535599116054,46,0.389830508474576,FALSE,-1.83338828467594,-47.756434276624
"donor6.0",-0.00166504886895729,0.0123211003815744,0.00724264763370953,0.587824740438002,96,0.82051282051282,0.00209717291771404,0.00728002727794116,0.00992906621537338,1.36387761148354,109,0.923728813559322,FALSE,-3.99964447495588,-54.5628604336987
"donor120.0",-6.18425881234844e-05,0.0118929420867691,0.00684832905556332,0.57583136330766,97,0.829059829059829,-1.56694151466188e-05,0.00238754297628165,0.00368467552213412,1.54329181034162,104,0.88135593220339,TRUE,-4.44026504304378,-48.786307955712
"donor2.0",-0.0017944707206112,0.0101676769275758,0.0058216723482331,0.572566613760527,98,0.837606837606838,-0.0129511054616537,0.00595107476105405,0.0224947745080086,3.77995159046268,79,0.669491525423729,FALSE,-4.40895144827864,-49.2686346547124
"donor42.0",0.00133341085446411,0.00490266349633984,0.00276237765122052,0.563444269279916,99,0.846153846153846,0.00679537785184821,0.00175370581512061,0.009793624978847,5.58453127908085,67,0.567796610169492,FALSE,-4.28217315930872,-55.8648379515379
"donor24.0",-0.00932588693625597,0.023053051625595,0.0128123758793723,0.555777867826712,100,0.854700854700855,-0.0527614026810418,0.00944487433093963,0.132191439800993,13.9961036186536,32,0.271186440677966,FALSE,-4.87473769107967,-50.8874368665019
"donor73.0",-0.00431943150866673,0.0102618718688898,0.00569651603849285,0.555114711163231,101,0.863247863247863,0.00311959920965678,0.000729620378390972,0.00786067433403871,10.7736496496628,44,0.372881355932203,TRUE,-9.67862944145867,-50.3415106235584
"donor25.0",0.00123025831849052,0.00811788552765911,0.00450310396101614,0.554713902490155,102,0.871794871794872,0.00276235948935304,0.000800941306411349,0.0233336341775554,29.1327641498511,20,0.169491525423729,FALSE,-1.118155964178,-54.0851464639951
"donor28.0",0.000547652105366967,0.0118922009425341,0.00616975053976038,0.518806448829282,103,0.88034188034188,-0.00300622225620344,0.00513607749947542,0.0116678962282684,2.27175236928574,93,0.788135593220339,FALSE,-6.50458792137522,-50.215532913427
"donor47.0",0.000467662966268124,0.0102719696716219,0.00527622579158102,0.513652781331462,104,0.888888888888889,0.00125524250699443,0.00444145657964212,0.00722226931679534,1.62610377638259,102,0.864406779661017,FALSE,-5.54064599276083,-48.9547984103911
"donor93.0",0.000974913522970115,0.0146882844076341,0.00752438788119309,0.512271390747469,105,0.897435897435897,0.00231655955118937,0.00984693933183859,0.00883747094439354,0.897484045201631,115,0.974576271186441,FALSE,-6.60472370083994,-51.4360780316787
"donor55.0",-0.00298640269955416,0.01376220497092,0.00681408790416397,0.495130534573665,106,0.905982905982906,-0.00389433812396477,0.00407746288659409,0.0062645772650055,1.53639099588183,105,0.889830508474576,FALSE,-5.58527735118362,-49.7972341774379
"donor145.0",-0.00443532138233254,0.0166321546699898,0.00805656169886153,0.484396751877156,107,0.914529914529915,-0.0079669565620382,0.00605920127202236,0.015399480604576,2.5415033951226,89,0.754237288135593,FALSE,-4.42314868097792,-48.7228161013627
"donor56.0",-0.015086035193205,0.0358520099732066,0.0172255165633952,0.480461669409006,108,0.923076923076923,-0.00317545916264899,0.0203003609285045,0.00944720603080687,0.465371333252586,118,1,TRUE,-9.28954634284259,-56.3616532203643
"donor9.0",0.00280236150000867,0.0212297273727711,0.00918060419051482,0.432440983782473,109,0.931623931623932,0.00340744459858437,0.000476355775377787,0.0185864309508967,39.0179607587548,9,0.076271186440678,FALSE,-5.74033671128191,-51.1274849963429
"donor59.0",0.00455739591237968,0.0141727130711371,0.0060222520972403,0.424918790566972,110,0.94017094017094,-0.00480987416760439,0.00211481197672685,0.0247755798712546,11.7152636470314,39,0.330508474576271,FALSE,-1.05730230960213,-46.9447127651649
