"treated_point","ATT","Pre.RMSE","Post.RMSE","Ratio.Post.Pre","order","rank"
"donor24.0",-0.0527614026810418,0.00944487433093963,0.132191439800993,13.9961036186536,32,0.271186440677966
"donor41.0",-0.00211746031122156,0.00178331869001323,0.0244913282722323,13.7335678751006,33,0.279661016949153
"donor37.0",-0.00779698032492259,0.000872148020791962,0.0115520670411439,13.2455348928659,34,0.288135593220339
"donor133.0",0.00934660221666038,0.00144216981678944,0.0180673362747844,12.52788407055,35,0.296610169491525
"donor71.0",0.00673893684118258,0.00117656502587468,0.013890581162457,11.8060462932174,36,0.305084745762712
"donor7.0",-0.0108093191874483,0.00211503021106678,0.0248918281381528,11.7690177700099,37,0.313559322033898
"donor4.0",-0.000860496353604456,0.000849027001027038,0.00998215545727266,11.7571707910321,38,0.322033898305085
"donor59.0",-0.00480987416760439,0.00211481197672685,0.0247755798712546,11.7152636470314,39,0.330508474576271
"donor17.0",-0.00841979060979358,0.00104938500319435,0.0121778884146832,11.604786020015,40,0.338983050847458
"donor116.0",0.00183702818074511,0.00166122181885004,0.0187587669225431,11.2921505783789,41,0.347457627118644
"donor132.0",0.00382243440698478,0.00298873809504627,0.0335072815211299,11.2111802558635,42,0.35593220338983
"donor12.0",0.000472133285477449,0.00178440460646042,0.0192714694088173,10.7999437678233,43,0.364406779661017
"donor73.0",0.00311959920965678,0.000729620378390972,0.00786067433403871,10.7736496496628,44,0.372881355932203
"donor85.0",-0.0050054286954689,0.000660392890830075,0.00698475729305946,10.5766694191393,45,0.38135593220339
"donor143.0",0.00383850200410794,0.00105829895146542,0.0111688213886794,10.5535599116054,46,0.389830508474576
"donor124.0",-0.00138024142741609,0.00061982573701237,0.00598964947622394,9.66344105860257,47,0.398305084745763
"donor64.0",0.0125194140886992,0.00202187453248484,0.0193017219774389,9.54644893504717,48,0.406779661016949
"donor72.0",-0.00504382748780759,0.0012982367683539,0.0121871772143618,9.3874842489745,49,0.415254237288136
"donor61.0",0.00776863583969198,0.00242306622311239,0.0215648509657475,8.89981906398241,50,0.423728813559322
"donor129.0",0.0145551502098342,0.00464059232413928,0.0408635071759153,8.80566624293906,51,0.432203389830508
"donor111.0",-0.0198887293418388,0.00306245400372556,0.0267761110823226,8.74335126331652,52,0.440677966101695
"donor48.0",0.00523466072163731,0.00363754410689641,0.0300202114021088,8.25287900844791,53,0.449152542372881
"donor128.0",0.0109033219666439,0.00176926715591378,0.0140834915653947,7.96007065316317,54,0.457627118644068
"donor86.0",0.00136837121456405,0.00123107068467467,0.00968579963098892,7.86778513335205,55,0.466101694915254
"donor1.0",-0.0104203298934784,0.00189446761037065,0.0147928463553343,7.80844511373838,56,0.474576271186441
"donor77.0",0.00099580964405916,0.000534910411945866,0.00415732337478787,7.77199935156357,57,0.483050847457627
"donor98.0",-0.00318854095065033,0.00133418969153216,0.0102606391517351,7.69053997108311,58,0.491525423728814
"donor130.0",-0.00346997178758135,0.000778710077258425,0.0058242251983245,7.4793242933617,59,0.5
"donor139.0",-0.00182745904982683,0.000675389247558862,0.00499221704136206,7.39161462727755,60,0.508474576271186
"donor112.0",-0.00779301652177599,0.00178148276744548,0.0129141781328375,7.24911762764647,61,0.516949152542373
"donor13.0",0.00535810769040938,0.00181221604235769,0.0126254097929986,6.96683480219771,62,0.525423728813559
"donor114.0",-0.00254083196659547,0.00149367073897015,0.00931939605641624,6.23925729631803,63,0.533898305084746
"donor149.0",0.016546682666721,0.00436060649582494,0.0269175878229889,6.17289999653972,64,0.542372881355932
"donor83.0",-0.00477078921405509,0.00225725183300481,0.0134550823103234,5.96082462469962,65,0.550847457627119
"donor95.0",0.00855222059648576,0.00373615943091778,0.0221952133550005,5.94064941964972,66,0.559322033898305
"donor42.0",0.00679537785184821,0.00175370581512061,0.009793624978847,5.58453127908085,67,0.567796610169492
"donor127.0",0.00164571239617778,0.00101198826299056,0.00541435193618975,5.3502121854552,68,0.576271186440678
"donor20.0",-4.31322780124494e-05,0.000600481841642433,0.00318317221440988,5.30102992907045,69,0.584745762711864
"donor91.0",0.00587655151280344,0.00171890212101939,0.00903071691650164,5.25377030260803,70,0.593220338983051
"donor80.0",-0.00260226680765919,0.00159986872694953,0.0077798249140812,4.86278954206137,71,0.601694915254237
"donor27.0",0.0143383298155432,0.00524321006875019,0.0232275502550666,4.4300247273143,72,0.610169491525424
"donor70.0",0.00496439841462969,0.00331316907692611,0.0146395796238139,4.41860324176276,73,0.61864406779661
"donor33.0",0.00580001264541928,0.00146682677690102,0.00606991348190699,4.13812563111981,74,0.627118644067797
"donor134.0",-0.0179904486268078,0.00793083072448471,0.0327263159330012,4.12646758831528,75,0.635593220338983
"donor5.0",0.00373519325981008,0.00199772101511702,0.00811975568226288,4.06450931877855,76,0.64406779661017
"donor43.0",0.00513598922049096,0.00358368704838453,0.0145077626038741,4.04827832564619,77,0.652542372881356
"donor92.0",-0.00428307371920018,0.0022951163064553,0.00897030855938911,3.90843310823028,78,0.661016949152542
