"treated_point","ATT","Pre.RMSE","Post.RMSE","Ratio.Post.Pre","order","rank"
"donor77.0",-3.53580424619951e-05,0.00253205794834588,0.00521675931856279,2.06028433194855,38,0.324786324786325
"donor121.0",-0.00618470788422291,0.00854290378705348,0.0154342147422959,1.80667079098866,39,0.333333333333333
"donor26.0",0.00666959664495234,0.00806695186542484,0.0142892369754905,1.77133038771863,40,0.341880341880342
"donor5.0",0.0011840625101929,0.0043762258529493,0.007550927658559,1.72544286156304,41,0.35042735042735
"donor64.0",0.00925966078674015,0.0113065199035598,0.0193091901739876,1.70779252490488,42,0.358974358974359
"donor86.0",-0.00359769003757421,0.00518455600900609,0.00835192878514106,1.61092459424354,43,0.367521367521368
"donor127.0",-0.00988306139309333,0.0067274914755227,0.0108045471786254,1.60602911470592,44,0.376068376068376
"donor62.0",0.000890073570325411,0.026458744561735,0.0424063291523481,1.60273398661842,45,0.384615384615385
"donor122.0",0.00400127042255584,0.0172966695106085,0.0276091642790007,1.59621274269404,46,0.393162393162393
"donor50.0",0.00512934436344459,0.0062473036167974,0.00965476896285718,1.54542976539478,47,0.401709401709402
"donor8.0",-0.000293994346864985,0.00344208892782016,0.00531131338997678,1.54304943926605,48,0.41025641025641
"donor38.0",0.00171672051086747,0.00665369574832414,0.0101593113790105,1.52686743777987,49,0.418803418803419
"donor46.0",0.00776386602266502,0.0464757938716034,0.0702146661962207,1.51077927555578,50,0.427350427350427
"donor72.0",-0.00161603157530921,0.00692586815246075,0.0104333333345437,1.50642967854315,51,0.435897435897436
"donor115.0",-0.00256833383860338,0.00209914151561708,0.00309021011167842,1.47213043460293,52,0.444444444444444
"donor52.0",-0.0140667302595852,0.0138451074779979,0.0203488440534671,1.46974980770678,53,0.452991452991453
"donor43.0",0.00674389387189631,0.0102951184140781,0.0145053281960777,1.40895205015247,54,0.461538461538462
"donor96.0",0.00905892171258306,0.0121282453809097,0.0170781218226958,1.40812799265897,55,0.47008547008547
"donor144.0",0.00885017824922048,0.0161012232854057,0.0221695233422409,1.37688441115747,56,0.478632478632479
"donor57.0",-0.00393433804003887,0.00402791121834306,0.00546616979621452,1.35707305844321,57,0.487179487179487
"donor12.0",-0.00196763392055868,0.00644399747742607,0.00873357672954151,1.35530418193614,58,0.495726495726496
"donor139.0",-0.0110299297054324,0.00947202339580441,0.0125069178122227,1.32040613600708,59,0.504273504273504
"donor114.0",-0.00748545022314427,0.0067110420688932,0.00868880942015265,1.29470346496958,60,0.512820512820513
"donor137.0",0.0116753541383606,0.0159011965933148,0.0205863437078951,1.29464116659938,61,0.521367521367521
"donor10.0",-0.0159854360558595,0.0144295226295707,0.0185453842204338,1.28523892969462,62,0.52991452991453
"donor13.0",0.00349868306764055,0.00579455152687707,0.00694923897394988,1.19927123638766,63,0.538461538461538
"donor17.0",-0.00584456456621797,0.00640687112386244,0.00762302822784783,1.1898207534495,64,0.547008547008547
"donor16.0",-0.00516940327836555,0.00585332254959521,0.00687776738791577,1.17501937226941,65,0.555555555555556
"donor7.0",-0.00917914149209496,0.0101650640166617,0.0113592318242319,1.11747764752025,66,0.564102564102564
"donor80.0",-0.0104819005027773,0.0107162777368449,0.0119474773485345,1.11489060305488,67,0.572649572649573
"donor69.0",-0.013624339560374,0.0130861581925464,0.014542961628121,1.11132399701574,68,0.581196581196581
"donor146.0",-0.00112568939343365,0.00381190128728015,0.00413385761163735,1.08446082416445,69,0.58974358974359
"donor15.0",-0.00408132523692942,0.00424558886190393,0.00456691864816479,1.07568556370217,70,0.598290598290598
"donor133.0",-0.00526853051278184,0.00723857853478457,0.00775510237764766,1.07135708210956,71,0.606837606837607
"donor131.0",-0.000458831757120787,0.00417371812216722,0.00446490166028351,1.06976598073784,72,0.615384615384615
"donor117.0",-0.0106661911244595,0.0116043702823362,0.0120871953610882,1.04160717617629,73,0.623931623931624
"donor135.0",0.0153293960001781,0.0277927600857946,0.028436167447947,1.02315017868561,74,0.632478632478632
"donor4.0",-0.00583595832820222,0.0102045712838613,0.0093115199643007,0.912485170153794,75,0.641025641025641
"donor142.0",-0.0157504659065327,0.0225608938011898,0.0203855535322541,0.903579162771426,76,0.64957264957265
"donor20.0",-4.81421549147638e-06,0.00285064161795265,0.00255848012177409,0.897510267745129,77,0.658119658119658
"donor108.0",0.00679246509988156,0.0128239693500678,0.0114155372649595,0.890171908037129,78,0.666666666666667
"donor110.0",0.000158571012613591,0.00270620763717099,0.00239411485458147,0.884675226578042,79,0.675213675213675
"donor92.0",-0.00219125662013257,0.00440424346314422,0.0038783432799338,0.880592390586197,80,0.683760683760684
"donor112.0",-0.00479344515426701,0.00872126097622276,0.00743157914997305,0.852122092233469,81,0.692307692307692
"donor27.0",0.0169609158562394,0.0287952221827303,0.0229569717759305,0.79724933637424,82,0.700854700854701
"donor79.0",-0.000870826391813972,0.0446818686296452,0.0346936650750053,0.776459582802384,83,0.709401709401709
"donor134.0",0.0161519366987094,0.0310067827541332,0.0239522832377187,0.772485279354753,84,0.717948717948718
"donor123.0",0.00240011858130498,0.0120099381412939,0.0090783429676917,0.755902558438458,85,0.726495726495726
"donor68.0",0.00614826700789754,0.0186554834303571,0.0138929970200335,0.74471385702212,86,0.735042735042735
"donor61.0",-0.0020076133022841,0.0503231636380626,0.0359760663945481,0.71490072947912,87,0.743589743589744
"donor87.0",-0.00560849770970236,0.0109374103071549,0.00780414186218664,0.713527392958954,88,0.752136752136752
"donor99.0",0.002508077263918,0.0226576073039709,0.0159039056851479,0.701923441066993,89,0.760683760683761
"donor111.0",-0.00156638826837898,0.00427097411657,0.00293169718123313,0.686423542081207,90,0.769230769230769
"donor107.0",-0.00027421962663747,0.00900683323154229,0.00604195119737162,0.670818593177951,91,0.777777777777778
"donor106.0",-0.00353695842971768,0.00972108412696171,0.00649451043847802,0.668084994806835,92,0.786324786324786
"donor91.0",0.00102004456067787,0.00898797470102064,0.00584738544651451,0.650578761180815,93,0.794871794871795
"donor83.0",-0.0012049788897625,0.0114791165878351,0.00704029081190698,0.613312945995152,94,0.803418803418803
"donor143.0",0.000496208024889755,0.00973931212530443,0.00586643508916434,0.60234593713475,95,0.811965811965812
"donor6.0",-0.00166504886895729,0.0123211003815744,0.00724264763370953,0.587824740438002,96,0.82051282051282
"donor120.0",-6.18425881234844e-05,0.0118929420867691,0.00684832905556332,0.57583136330766,97,0.829059829059829
